ID,data,,,,,,
,,,背景fade,箒の出現,文字出現1,文字出現2,
Title,AnimTime,,3,0.8,0.6,1,(秒)
,,,,,,,
Title,ScaleStart,,0,,,,
Title,ScaleGoal,,1,,,,
Title,RotateStart,,-90,,,,
Title,RotateGoal,,0,,,,
Title,TransStart,,-500,,,,
Title,TransGoal,,0,,,,
Title,AlphaStart,,0,,,,
Title,AlphaGoal,,1,,,,
,,,,,,,
Select,ScrollSpeed,,-0.5,,背景スクロールスピード,,
Select,BackFrm,,120,,タイトル画面に戻るまでの長押し時間,,
Select,ColorPosY,,307,,色アイコン高さ,,
Select,ColorIconSize,,64,,色アイコンサイズ,,
Select,ColorIconDispSize,,100,,色アイコン表示サイズ,,
Select,UiSpace,,50,,アイコン間隔,,
Select,GuideUiPosY,,668,,操作ガイドUI高さ,,
Select,MoveFrm,,10,,移動に必要なフレーム数,,
,,,X,Y,,,
Select,BackUiPos,,20,20,戻るボタンUI位置,,
,,,,,,,
Play,GameTime,,300,,ゲーム時間,,
Play,MaxLeafNum,,50,,ステージ上の総リーフ数,,
,,,X,Y,Z,,
Play,InitPos1,,0,0,-45,,プレイヤー1初期位置
Play,InitPos2,,-45,0,0,,プレイヤー2初期位置
Play,InitPos3,,0,0,45,,プレイヤー3初期位置
Play,InitPos4,,45,0,0,,プレイヤー4初期位置
,,,XZ,,,,
Play,LeafSpawnRange,,-40,40,,,リーフ出現範囲
,,,Y,,,,
Play,LeafSpawnHeight,,10,15,,,
Play,,,,,,,
